	GSM2230759	GSM2230758	GSM2230760	GSM2230757
abs.beta.B.cells.naive	0.0	0.0	0.0	0.0
abs.beta.B.cells.memory	0.0	0.0	0.0	0.0
Plasma_B_cells	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.naive	0.0042745404261704785	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.0	0.002409249732367989	0.0
abs.beta.T.cells.CD4.memory.activated	0.0	0.0	0.0	0.0
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0
abs.beta.NK.cells.resting	0.0	0.0	0.0	0.0
abs.beta.NK.cells.activated	0.0	0.0	0.0	0.0
Monocytes	0.0	0.0	0.0	0.0
abs.beta.Macrophages.M0	0.02584088473588189	0.0241683041393955	0.0259978957683927	0.0319006501616542
Macrophages_M1	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0156596485140674	0.0055796497673545895	0.0
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0
abs.beta.Dendritic.cells.activated	0.00177739846453237	0.0	0.0004977166604916099	0.007284163176196708
abs.beta.Mast.cells.resting	0.0	0.0022986531264325197	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.00259992289057288	0.00350927154529305	0.00835333037874183
Eosinophils	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0
B_cells	0.0	0.0	0.0	0.0
CD4_T_cells	0.0042745404261704785	0.0	0.002409249732367989	0.0
NK_cells	0.0	0.0	0.0	0.0
Macrophages	0.02584088473588189	0.0398279526534629	0.031577545535747285	0.0319006501616542
Dendritic_cells	0.00177739846453237	0.0	0.0004977166604916099	0.007284163176196708
T_cells	0.0042745404261704785	0.0	0.002409249732367989	0.0
Non_plasma_B_cells	0.0	0.0	0.0	0.0
Lymphocytes	0.0042745404261704785	0.0	0.002409249732367989	0.0
Other	99.96810717637341	99.95527347132952	99.96200621652609	99.95246185628339
