	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
abs.beta.B.cells.naive	0.453157741561289	0.644595900569362	0.693995172110755	0.6825107291325071	0.6440184529672729	1.02591298038444	0.5698207287153431	0.6391872682787679	0.10660179957763001	0.34606725222615303	1.1215073405934701	0.48284546952079294
abs.beta.B.cells.memory	0.0	0.8992420005788371	1.02876610244883	0.0	0.0	0.0883677842522472	0.0	0.23193339655855305	0.0	0.419698659519945	0.0	0.07907697933401281
Plasma_B_cells	0.000688685180358961	0.6787434095285549	0.372621393428315	0.22334987546821106	0.0292002459436595	0.0	0.6432576949306689	0.41326194085097107	0.3957486512888671	0.36595883620768505	0.10663876584420197	0.0537330378327258
CD8_T_cells	2.4798771663373698	1.74914410057798	2.05555720337318	1.18620049002371	1.0645125650432299	2.3797686346557403	3.1544100836988904	4.42593532170835	1.91312980165932	1.9572096719445802	2.27871959884954	1.9371311948541297
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.31306989988109696	0.11742507041040301	0.542187675741931	0.0	0.0	0.0	0.21905597086578696	0.8947444752635308	1.21349007635847	0.33307388226815804	0.0
abs.beta.T.cells.CD4.memory.activated	0.20439839339071803	0.582485154646546	0.7784386864002409	0.0	0.0195673797232814	0.0	0.6016207456644339	0.0	0.127139117738194	0.26238899360101203	0.0	0.44406326010109104
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.00115594694147724	0.0606183592645611	0.0	0.0	0.0	0.19900122297646694	0.0	0.0	0.0	0.11180535488144301	0.0	0.0
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.resting	1.82948564583903	0.7717436719016479	0.8683261909417429	2.44553696365344	1.43616668045235	0.972780567567144	1.67372595197142	1.6664637900401802	2.64161744113552	1.5822370131949302	0.991243112920702	1.26205493118553
abs.beta.NK.cells.activated	0.156610579716832	0.646539819559404	0.0	0.0	0.0	1.28997162270332	0.0	0.0	0.0	0.0	0.30494216965811394	0.0
Monocytes	6.6528860508508885	7.39033433148268	5.53201463019297	4.98192315335102	8.771464074020681	5.902852315934041	6.294815991566099	4.739849533078161	8.200702006943999	6.048478421442891	6.949388565333932	7.493632413620062
abs.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0253662308233251	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0199602500885785	0.028066098216495302	0.0494593551424914	0.0	0.0	0.0	0.0	0.0	0.0	0.219990923645464	0.0
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149302780196516	0.0
abs.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.046693843418996295	0.18683307723366196	0.0	0.0	0.0	0.0	0.0	0.0	0.132657985748228	0.253567976499478
Neutrophils	0.13452762672985694	0.0	0.3857543499947	0.0	0.0	0.0	0.0	0.0	0.0	0.3867980855101629	0.0	0.0465828183537272
T_cells	2.6854315066695653	2.7053175143701838	2.951420960183824	1.7283881657656408	1.0840799447665117	2.578769857632207	3.756030829363324	4.644991292574137	2.9350133946610453	3.5448940967855047	2.6117934811176986	2.381194454955221
CD4_T_cells	0.2055543403321952	0.9561734137922042	0.8958637568106439	0.542187675741931	0.0195673797232814	0.19900122297646694	0.6016207456644339	0.21905597086578696	1.021883593001725	1.587684424840925	0.33307388226815804	0.44406326010109104
Macrophages	0.0	0.0199602500885785	0.028066098216495302	0.0494593551424914	0.0253662308233251	0.0	0.0	0.0	0.0	0.0	0.219990923645464	0.0
NK_cells	1.9860962255558616	1.4182834914610516	0.8683261909417429	2.44553696365344	1.43616668045235	2.2627521902704637	1.67372595197142	1.6664637900401802	2.64161744113552	1.5822370131949302	1.296185282578816	1.26205493118553
B_cells	0.4538464267416479	2.222581310676754	2.0953826679879	0.905860604600718	0.6732186989109326	1.114280764636687	1.213078423646012	1.2843826056882919	0.502350450866497	1.131724747953783	1.228146106437672	0.6156554866875315
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149302780196516	0.0
Lymphocytes	5.125374158967075	6.346182316507988	5.915129819113468	5.079785734019799	3.1934653241297943	5.955802812539357	6.6428352049807575	7.595837688302609	6.078981286663063	6.2588558579342175	5.136124870134187	4.258904872828284
Non_plasma_B_cells	0.453157741561289	1.5438379011481989	1.7227612745595853	0.6825107291325071	0.6440184529672729	1.114280764636687	0.5698207287153431	0.8711206648373209	0.10660179957763001	0.7657659117460981	1.1215073405934701	0.5619224488548058
