	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
B cells naive	0.105248513362561	0.0456191428458116	0.192706085242811	0.252043470487256	0.17653271492220104	0.206539899249059	0.16263639914677	0.316296850905731	0.20368414323529602
B cells memory	0.067717986384571	0.0936157299784573	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasma_B_cells	0.105398503054927	0.0379904690467082	0.0	0.00752532419436055	0.109038270445431	0.0338619110076701	0.0177053258177128	0.0592471796511357	0.0444251554468274
CD8_T_cells	0.968326603040684	0.873535177641532	1.4712981958121598	1.48973999633146	1.1306242106706699	1.78261485814438	1.1602549085877198	0.77298771096707	1.29892574586375
T cells CD4 naive	0.107120789623613	0.0412730628789943	0.0	0.0	0.0	0.0	0.0	0.0417335732984306	0.0
T cells CD4 memory resting	0.545835433088347	0.567739291831042	0.465568006788394	0.322555366439375	0.31863399088779804	0.0	0.33081299264618197	0.388228697916004	0.377691799339312
T cells CD4 memory activated	0.0	0.0	0.0526576037325474	0.0364614499544161	0.0	0.0557931557859636	0.0273975470627961	0.0221199900157099	0.0262091593521841
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0963442577346274	0.0670170947970957	0.0	0.0105884555893512	0.0709906795224488	0.00958629654729398	0.0133765487465763	0.115145566072351	0.0599465888528861
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	0.199479684686776	0.284086738117028	0.781072318946992	0.522798311738846	0.31292941038085603	0.525215106719794	0.6079673769738491	0.17725907651005898	0.497478817624796
NK cells activated	0.0210806320105058	0.0	0.0	0.0397299014003933	0.0	0.0	0.0510078005557191	0.0	0.0155739839735615
Monocytes	1.6254195362849502	1.3620487314715002	1.3938450571982	1.6284092283223	1.7744415409856698	1.4625072877692802	1.37336076052547	1.69901095891093	1.4818539739313998
Macrophages M0	0.0241046873994925	0.0283346194754914	0.0293562204413351	0.0347147741429934	0.0481014182048113	0.0366913538861962	0.0453722548415579	0.0498743714803009	0.0245501039507718
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0	0.0	0.004438052443126539	0.0	0.0	0.00045115156655954803	0.0012791137471903	0.0	0.00290647844070262
Mast cells resting	0.0983427446080259	0.0824355852616148	0.0545630950148399	0.0896285195817042	0.10538553497125196	0.0597581068093939	0.0750817572116546	0.0756410204079244	0.06677415233219999
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.00812281687565347	0.0072815990550364595	0.0414056085831437	0.0	0.0026304473075737	0.0	0.0	0.0
Neutrophils	0.00188187178835895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.9263157451359159	0.888628637952899	0.885175262963246	0.876865622929201	0.888391938188746	0.8967331945856708	0.8765729623857841	0.897117445287031	0.9133038338154499
RMSE	0.5654445776671341	0.593321313895819	0.570869613759026	0.5928791623212951	0.593407675063453	0.562099699751843	0.587477254032141	0.591760687225187	0.560043657349364
Absolute score (sig.score)	3.9663012430674396	3.49181846022093	4.4527862346754405	4.4756004067656	4.04667777099114	4.17564957479316	3.86625278586319	3.7175449961356497	4.10002010234368
B_cells	0.27836500280205895	0.17722534187097708	0.192706085242811	0.2595687946816165	0.28557098536763204	0.2404018102567291	0.1803417249644828	0.3755440305568667	0.2481092986821234
CD4_T_cells	0.7493004804465875	0.6760294495071321	0.5182256105209414	0.3696052719831423	0.3896246704102469	0.06537945233325758	0.3715870884555544	0.5672278273024955	0.4638475475443822
T_cells	1.7176270834872711	1.549564627148664	1.989523806333101	1.859345268314602	1.5202488810809172	1.8479943104776373	1.5318419970432742	1.3402155382695655	1.7627732934081322
NK_cells	0.2205603166972818	0.284086738117028	0.781072318946992	0.5625282131392394	0.31292941038085603	0.525215106719794	0.6589751775295681	0.17725907651005898	0.5130528015983575
Macrophages	0.0241046873994925	0.0283346194754914	0.0293562204413351	0.0347147741429934	0.0481014182048113	0.0366913538861962	0.0453722548415579	0.0498743714803009	0.0245501039507718
Dendritic_cells	0.0	0.0	0.004438052443126539	0.0	0.0	0.00045115156655954803	0.0012791137471903	0.0	0.00290647844070262
Mast_cells	0.0983427446080259	0.0824355852616148	0.0545630950148399	0.0896285195817042	0.10538553497125196	0.0597581068093939	0.0750817572116546	0.0756410204079244	0.06677415233219999
Non_plasma_B_cells	0.172966499747132	0.13923487282426888	0.192706085242811	0.252043470487256	0.17653271492220104	0.206539899249059	0.16263639914677	0.316296850905731	0.20368414323529602
Lymphocytes	2.2165524029866117	2.010876707136669	2.9633022105229037	2.681442276135458	2.118749276829405	2.6136112274541605	2.3711588995373254	1.8930186453364912	2.523935393688613
Other	96.03369875693257	96.50818153977907	95.54721376532456	95.5243995932344	95.95332222900886	95.82435042520686	96.13374721413679	96.28245500386437	95.89997989765631
