	TWDN-WUR-117-A1	TWDN-WUR-117-A2	TWDN-WUR-117-A3	TWDN-WUR-120-A1	TWDN-WUR-120-A2	TWDN-WUR-120-A3	TWDN-WUR-124-A1	TWDN-WUR-124-A2
B cells naive	0.56078077804311	0.0	0.0	0.0	0.0	0.26904629002817804	0.0	0.7742971973444821
B cells memory	0.0	0.16486524730501098	0.0	3.16356698131806	0.0	0.0	1.05810813109539	0.0
Plasma_B_cells	2.95805022786183	10.0021468487867	25.2152541443554	1.0947058272444101	0.0	0.47745333073598706	0.0	0.0
CD8_T_cells	19.8952879744228	34.2796145038023	8.28696690739709	0.984424855159341	2.71477269876759	3.70171134801729	4.99652655692559	5.5430654096482295
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	12.91083576142	0.112035075384259	14.7378809359634	7.77534037084567	12.888969060168199	8.764721342205151	19.8837919942114	18.1606888269345
T cells CD4 memory activated	0.0	11.481838400006401	2.3922534893617797	0.0	0.0	0.0	0.0	0.0
T cells follicular helper	0.7422480389903249	0.004738930985355421	0.0	0.4884246278862741	0.0	0.488520035627371	0.0	0.0
T cells regulatory (Tregs)	0.16525274388776998	0.0	0.0	3.60671258761899	1.19468435824591	4.33960207794713	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	1.04486332715737	2.5397202301715103	0.0	6.62015535325851	2.69587168872275	4.852729927887808	6.747778075440871	4.53227934137034
NK cells activated	0.40599266159409003	1.63291221305863	0.8650934692331551	0.0	6.63513182114598	2.09392492674728	1.77011711143827	1.66051595452086
Monocytes	10.426922547915598	4.5387959432216505	5.6357176975020105	5.0542864486009185	13.132697176503198	4.1210301551270785	8.10226627181277	10.2637038252261
Macrophages M0	14.347439702012	1.90036217139268	3.056963904043	41.036662457402	16.2387672367553	40.0693372422866	8.181970848914549	5.93149395780563
Macrophages_M1	4.81578933196758	10.621674196725099	0.24585289799216006	0.76069169909859	1.5292994261876298	2.07345122213939	1.7436280882972401	0.103717883751482
Macrophages_M2	29.0187348072713	13.304632203080802	31.31931633771691	22.461179980114604	33.446497549937106	21.834727032754287	40.962264925688295	41.07400522325491
Dendritic cells resting	0.0	0.11977646383731899	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2407836032516
Mast cells resting	2.5410578150168397	6.96512350811052	7.331749054109959	5.946109990594191	6.9972988394316	4.853711567154631	6.5535479961755785	7.71544877689191
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.16674428243926198	2.33176406413182	0.912951162325202	1.00773882085845	2.52601014413467	2.06003350134184	0.0	0.0
P-value	4.0	0.0	0.0	4.0	20.0	4.0	10.0	32.0
Correlation	19.5423184025245	35.2914087507019	44.502812884048794	17.1860979508624	7.185698633975071	16.678398252770002	9.62166311053842	5.871517480554321
RMSE	101.074191976798	93.86005755411608	89.5770273017298	104.997825911374	107.121745072425	105.172194396882	105.50733750997499	106.790846432292
Mast_cells	2.5410578150168397	6.96512350811052	7.331749054109959	5.946109990594191	6.9972988394316	4.853711567154631	6.5535479961755785	7.71544877689191
NK_cells	1.45085598875146	4.17263244323014	0.8650934692331551	6.62015535325851	9.331003509868731	6.9466548546350895	8.51789518687914	6.192795295891201
Macrophages	48.181963841250884	25.826668571198578	34.622133139752066	64.25853413661518	51.21456421288004	63.97751549718029	50.887863862900076	47.10921706481202
Non_plasma_B_cells	0.56078077804311	0.16486524730501098	0.0	3.16356698131806	0.0	0.26904629002817804	1.05810813109539	0.7742971973444821
CD4_T_cells	13.818336544298095	11.598612406376017	17.130134425325178	11.870477586350932	14.083653418414107	13.592843455779652	19.8837919942114	18.1606888269345
B_cells	3.51883100590494	10.167012096091712	25.2152541443554	4.258272808562469	0.0	0.7464996207641651	1.05810813109539	0.7742971973444821
T_cells	33.7136245187209	45.878226910178306	25.417101332722268	12.854902441510275	16.798426117181695	17.294554803796938	24.88031855113699	23.703754236582732
Dendritic_cells	0.0	0.11977646383731899	0.0	0.0	0.0	0.0	0.0	4.2407836032516
Lymphocytes	38.68331151337729	60.21787144950016	51.497448946310826	23.73333060333125	26.129429627050428	24.9877092791962	34.45632186911152	30.67084672981841
