	SRR7900852	SRR7900853	SRR7900854	SRR7900855	SRR7900856	SRR7900857	SRR7900858	SRR7900859
B cells naive	6.67382157028136	14.708982153923301	23.633460555865305	6.50975918766176	13.3740628536462	3.27701617808576	7.551374164263168	16.2319212747944
B cells memory	0.0	0.0	0.0	1.26552865511556	0.0	0.44166297248735503	2.7502538940044103	1.12120659749385
Plasma_B_cells	4.91966583935153	4.49291309181992	9.82250971858157	6.77860696759559	8.853129189134329	1.8801758477343296	4.96949322449346	4.99173122882876
CD8_T_cells	24.963932051365198	14.1088586744891	9.505816012583779	25.2404238418392	13.433495162930901	19.279516098995604	13.4875126797466	11.667237427213
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	5.2041913545346405	0.0
T cells CD4 memory resting	6.408492415535349	16.096596439044294	5.99348829908005	13.7794589728477	5.88162895235319	0.0820071967726396	4.4954527700395	9.074550019392671
T cells CD4 memory activated	3.4309152970189203	1.35817069416729	0.44715988478548996	2.81908604234344	0.6103829380460409	3.46135550002864	0.0	1.4529821845609399
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	8.208738449876549	10.974255397585404	4.23733720392609	10.3978629710665	5.174973038890331	13.763742426842498	9.21063087142599	2.23087860738828
NK cells activated	0.0	0.240660676616344	0.0737198865983701	0.0	0.0	0.0	0.0	2.3138875466121296
Monocytes	41.88042435550279	34.315600466971304	40.6366240507732	30.498187500754906	46.7040685690962	49.742969452071506	47.9105302011032	42.6138163483071
Macrophages M0	0.11957252573584802	0.377627427276824	2.08952273504194	0.0	1.42924839140059	2.09346252028099	0.34588003822926605	2.40030341633691
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0316400574891506	0.0544578364942721	0.397446676254968	0.050663869876074415	1.44781933788249	0.9975422150834659	1.41134543231724	0.7550541538827641
Mast cells resting	1.5487199408726802	0.8375137272743729	3.16291497650918	1.27654296056319	2.6549339017293403	3.24291771588071	2.66333536984254	5.1464311951891295
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	1.8140774969706202	2.4343634143375903	0.0	1.38387903033616	0.4362576648903139	1.73763187573645	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	68.59160132597961	74.3820880056613	78.1954629971476	68.51191285305029	77.0740335960573	77.2186990048273	77.15168847255421	79.2945845381689
RMSE	75.3388106057988	71.9479963130982	68.0683090952919	75.49659538981629	69.56345141037788	68.61689530866079	69.45204900533291	68.6723961599306
T_cells	34.803339763919475	31.56362580770068	15.94646419644932	41.838968857030345	19.925507053330133	22.82287879579689	23.187156804320736	22.19476963116661
Macrophages	0.11957252573584802	0.377627427276824	2.08952273504194	0.0	1.42924839140059	2.09346252028099	0.34588003822926605	2.40030341633691
NK_cells	8.208738449876549	11.214916074201746	4.31105709052446	10.3978629710665	5.174973038890331	13.763742426842498	9.21063087142599	4.544766154000411
Dendritic_cells	0.0316400574891506	0.0544578364942721	0.397446676254968	0.050663869876074415	1.44781933788249	0.9975422150834659	1.41134543231724	0.7550541538827641
Mast_cells	1.5487199408726802	0.8375137272743729	3.16291497650918	1.27654296056319	2.6549339017293403	3.24291771588071	2.66333536984254	5.1464311951891295
B_cells	11.593487409632893	19.20189524574322	33.45597027444687	14.553894810372908	22.227192042780533	5.598854998307445	15.27112128276104	22.34485910111701
CD4_T_cells	9.83940771255427	17.454767133211586	6.44064818386554	16.598545015191142	6.492011890399232	3.54336269680128	9.69964412457414	10.52753220395361
Lymphocytes	54.60556562342891	61.980437127645644	53.71349156142065	66.79072663846975	47.327672135001	42.185476220946825	47.66890895850778	49.084394886284024
Non_plasma_B_cells	6.67382157028136	14.708982153923301	23.633460555865305	7.775287842777319	13.3740628536462	3.7186791505731143	10.30162805826758	17.35312787228825
