	SRR1740054	SRR1740082
B cells naive	1.1700784867603902	2.10480284883829
B cells memory	1.31680418839373	3.25876364227997
Plasma_B_cells	0.0964808884987188	0.883763411963901
CD8_T_cells	16.174102233703	10.4250929536834
T cells CD4 naive	4.784948256416049	11.657637981658196
T cells CD4 memory resting	12.002772900491495	13.176070918129101
T cells CD4 memory activated	0.7169780080612421	0.7854970516446541
T cells follicular helper	0.0	0.0
T cells regulatory (Tregs)	0.413494509928216	0.337792189462789
T cells gamma delta	0.0	0.0
NK cells resting	22.410165522717605	8.080288453898879
NK cells activated	0.0	0.0
Monocytes	38.1257160735334	45.919736858747214
Macrophages M0	0.6473692192833278	0.13112221500687402
Macrophages_M1	0.0	0.0
Macrophages_M2	0.0	0.0
Dendritic cells resting	0.0	0.0
Dendritic cells activated	0.0	0.042310231224962296
Mast cells resting	2.14108971221281	1.6022396787509998
Mast cells activated	0.0	0.0
Eosinophils	0.0	0.0
Neutrophils	0.0	1.59488156471082
P-value	0.0	0.0
Correlation	73.68515169132871	81.76640188945848
RMSE	70.6013284405548	65.59375973307479
T_cells	34.0922959086	36.38209109457814
Macrophages	0.6473692192833278	0.13112221500687402
NK_cells	22.410165522717605	8.080288453898879
Dendritic_cells	0.0	0.042310231224962296
Mast_cells	2.14108971221281	1.6022396787509998
B_cells	2.583363563652839	6.2473299030821625
CD4_T_cells	17.918193674897008	25.956998140894736
Lymphocytes	59.08582499497046	50.70970945155919
Non_plasma_B_cells	2.48688267515412	5.36356649111826
