	DLBCL1	DLBCL2	DLBCL3	FL1	FL2	FL3	FL4	rLN1	rLN2	rLN3	tFL1	tFL2
relative.beta.B.cells.naive	4.362868927690251	10.527162376776594	4.27495943522678	17.467601592101094	5.4328397271667885	15.600744335886402	20.7096572731734	4.55108233045702	0.0	25.3477632630828	2.7939053845053703	0.8127576066608009
relative.beta.B.cells.memory	54.8572229482716	80.7845733646105	51.312432122960786	49.039071245440596	58.67201227109561	34.075194563660396	32.755288112936604	8.20115984802062	69.6655146826121	20.4728098359763	62.260807474468095	51.3464395739758
Plasma_B_cells	33.6766548966639	0.0	17.786333018075002	5.26365274087812	6.233117952154269	18.061696999644198	27.009868695888397	7.608767657081341	12.610510887725098	15.279024695285996	0.0	1.4948017304130399
CD8_T_cells	0.0	0.879324386673531	2.29668895692058	3.87954819895281	5.14677946259033	6.57326131114053	3.8069377329955203	0.0	3.56091464584613	13.1748631141426	6.4509221547236395	0.0
relative.beta.T.cells.CD4.naive	2.85207488559239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.604126000549121	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.418454263887698	1.2878182676166	7.05945550262678	5.34773538597955	0.0
relative.beta.T.cells.CD4.memory.activated	0.0	1.78222432614142	3.3291565615454797	1.5638822283944702	3.4403242787049297	3.73485073253741	1.59243427694386	7.02700169840023	0.42427847745578295	2.0011476774706702	5.5394539553565405	28.848334414140304
relative.beta.T.cells.follicular.helper	4.25117834178186	4.64075848419887	2.02486509372936	18.89878791046561	14.716126113494699	15.8555773366552	10.6362035716781	54.28597692766101	7.83528006104828	8.341286283845049	8.901817858736031	11.6221378944331
Tregs	0.0	0.148334292664987	6.658276901306598	2.8740140660068305	4.77203808581438	4.51588457282236	3.4896103363841804	1.9002053740272702	4.22468398331534	1.5067081462857401	5.6543384522955	2.38831569133474
relative.beta.T.cells.gamma.delta	0.0	1.2376227689340902	0.589573483205577	0.929779114345214	0.0	0.0	0.0	0.0	0.390998994380686	1.49131351689967	0.0	0.0
relative.beta.NK.cells.resting	0.0	0.0	5.574959627350191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.activated	0.0	0.0	2.5763903065800497	0.0	1.15817126971728	1.39481871272995	0.0	3.9464762704950895	0.0	0.0	1.6090870573477498	2.84011944672573
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.565630287026949	0.0	0.0	0.911914400635013	0.083290922815058
relative.beta.Macrophages.M0	0.0	0.0	2.82765066449297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30118849878128195
Macrophages_M1	0.0	0.0	0.7487138286066529	0.0	0.0	0.0	0.0	0.08516661111342849	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30362806855936	0.0	0.0	0.0	0.19961502015212107
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0836629034151617	0.0	0.0	0.0	0.0	0.0	0.44429900690812	0.5300178759525479	0.0
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.428590839261714	0.0	0.0	0.0	0.0	0.0	0.0	0.06299920056795169
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.18797143492357998	0.0	0.106450663270065	0.0	0.27720295692713	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	7.10325322737425	8.688264258612897	14.898560996707596	28.14601151816493	28.075267940604338	30.679573953155494	19.525185918001657	74.6316382639762	17.72397442966282	38.178900241819626	31.89426780709126	42.858787999908145
Non_plasma_B_cells	59.22009187596185	91.3117357413871	55.58739155818757	66.5066728375417	64.10485199826239	49.67593889954679	53.46494538611001	12.75224217847764	69.6655146826121	45.820573099059104	65.05471285897346	52.1591971806366
CD4_T_cells	7.10325322737425	6.571317103005277	12.01229855658144	23.336684204866906	22.92848847801401	24.10631264201497	15.718248185006141	74.6316382639762	13.772060789436006	23.51272361077736	25.443345652367626	42.858787999908145
Macrophages	0.0	0.0	3.5763644930996232	0.0	0.0	0.0	0.0	0.3887946796727885	0.0	0.0	0.0	0.500803518933403
B_cells	92.89674677262572	91.3117357413871	73.37372457626256	71.77032557841983	70.33796995041666	67.73763589919099	80.4748140819984	20.36100983555898	82.2760255703372	61.099597794345115	65.05471285897346	53.65399891104964
Dendritic_cells	0.0	0.0	0.0	0.0836629034151617	0.0	0.0	0.0	0.0	0.0	0.44429900690812	0.5300178759525479	0.0
NK_cells	0.0	0.0	8.151349933930241	0.0	1.15817126971728	1.39481871272995	0.0	3.9464762704950895	0.0	0.0	1.6090870573477498	2.84011944672573
Lymphocytes	100.0	100.0	96.42363550690041	99.91633709658475	99.57140916073828	99.81202856507645	100.00000000000007	98.93912437003029	100.00000000000004	99.27849803616472	98.55806772341248	99.35290635768352
