	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
relative.beta.B.cells.naive	3.80396048161812	4.68576297074554	5.82814125941408	6.62760382273166	5.371164088823991	8.651174768723621	4.40435995729605	5.18161053217125	0.7465277582546601	2.72619854810554	9.01558208001475	4.00612266959663
relative.beta.B.cells.memory	0.0	6.53686265198028	8.63953296639329	0.0	0.0	0.7451754292109429	0.0	1.88018220952097	0.0	3.30624139922202	0.0	0.6560941326996772
Plasma_B_cells	0.00578105805129938	4.933991563082	3.12925824912417	2.1688662540752	0.24353232686856305	0.0	4.9719820480425305	3.3501331010945696	2.7714105638886406	2.8828975914884003	0.8572485543171979	0.445817874570958
CD8_T_cells	20.816933872768487	12.715058612297804	17.262479955917	11.5187447854479	8.87811775441882	20.067778419002604	24.381628749898805	35.87911433128039	13.397564654083194	15.418223283682995	18.3181891345402	16.0721922096315
relative.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	2.27579999007456	0.98613063210079	5.264979668455251	0.0	0.0	0.0	1.77579057359779	6.265856580055272	9.559456617256119	2.67751695919238	0.0
relative.beta.T.cells.CD4.memory.activated	1.71578975631241	4.234261133589198	6.53729421825042	0.0	0.163193471860678	0.0	4.650154317230401	0.0	0.8903497026093979	2.0670100646405403	0.0	3.6843503881097504
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.00970341247857074	0.440653226212483	0.0	0.0	0.0	1.67810953957715	0.0	0.0	0.0	0.8807640543492651	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	15.357325849674403	5.61003865756793	7.292165570353272	23.7476854752775	11.977742041505199	8.20312722672434	12.936861000072	13.5092902416639	18.4991318562237	12.4643179046368	7.968412976286821	10.4711490305923
relative.beta.NK.cells.activated	1.31464256617044	4.699893907063349	0.0	0.0	0.0	10.8778913690307	0.0	0.0	0.0	0.0	2.4513715253577404	0.0
Monocytes	55.84659226818579	53.722580179773814	46.457618164474106	48.37757345979279	73.15469397455881	49.77674324773061	48.65501392746021	38.4238790106711	57.429158884885204	47.64782852094199	55.8647997645116	62.17395126358269
relative.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.21155634196399	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.145097107613109	0.235697871656404	0.4802811109341229	0.0	0.0	0.0	0.0	0.0	0.0	1.7684647769977295	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012002163703394098	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.39213286536731506	1.81426542328558	0.0	0.0	0.0	0.0	0.0	0.0	1.0664120650781401	2.10382924364285
Neutrophils	1.1292707347404698	0.0	3.2395482469491497	0.0	0.0	0.0	0.0	0.0	0.0	3.04706201567639	0.0	0.386493187573612
T_cells	22.54242704155948	19.66577296217405	24.78590480626821	16.78372445390315	9.041311226279497	21.74588795857975	29.031783067129197	37.65490490487817	20.553770936747863	27.92545401992892	20.99570609373257	19.75654259774125
CD4_T_cells	1.725493168790981	6.950714349876241	7.5234248503512084	5.264979668455251	0.163193471860678	1.67810953957715	4.650154317230401	1.77579057359779	7.1562062826646695	12.507230736245926	2.67751695919238	3.6843503881097504
Macrophages	0.0	0.145097107613109	0.235697871656404	0.4802811109341229	0.21155634196399	0.0	0.0	0.0	0.0	0.0	1.7684647769977295	0.0
NK_cells	16.671968415844844	10.30993256463128	7.292165570353272	23.7476854752775	11.977742041505199	19.081018595755037	12.936861000072	13.5092902416639	18.4991318562237	12.4643179046368	10.41978450164456	10.4711490305923
B_cells	3.8097415396694188	16.156617185807818	17.59693247493154	8.79647007680686	5.614696415692554	9.396350197934565	9.37634200533858	10.41192584278679	3.5179383221432996	8.915337538815962	9.872830634331947	5.108034676867264
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012002163703394098	0.0
Lymphocytes	43.02413699707375	46.132322712613146	49.67500285155302	49.32788000598751	26.633749683477248	50.22325675226936	51.344986072539776	61.57612098932888	42.57084111511486	49.30510946338168	41.2883212297091	35.33572630520081
Non_plasma_B_cells	3.80396048161812	11.22262562272582	14.467674225807368	6.62760382273166	5.371164088823991	9.396350197934565	4.40435995729605	7.06179274169222	0.7465277582546601	6.032439947327559	9.01558208001475	4.662216802296307
