	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
relative.beta.B.cells.naive	3.87568618860845	0.0	4.91048064360713	6.9589058826532115	1.41664566498767	2.66935446379374	3.7055685953885504	5.90952695313397	3.04659414457676
relative.beta.B.cells.memory	0.0	4.30420550659747	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasma_B_cells	4.34135669240214	3.07943209980765	0.0	0.0	5.19033445090684	1.6765827765696102	2.55696136557804	4.22934597465402	2.4309743682219103
CD8_T_cells	31.336896840863805	27.8626024662399	50.235762821751614	31.021534195780397	19.949442934562	31.5338463515363	22.658537281139107	18.906741370365	41.64626630170379
relative.beta.T.cells.CD4.naive	0.7501947882385859	1.81567261111264	1.3278324356526	0.0	1.9664372341243697	0.0	0.0	1.87523115925655	0.0
relative.beta.T.cells.CD4.memory.resting	5.7289000670967996	5.185381983088551	0.0	0.0	0.0	8.978257671698229	0.0	3.7448252771413704	0.0
relative.beta.T.cells.CD4.memory.activated	0.35288659447173	2.04070734491442	2.16647773556311	6.281306353550111	3.11744300411448	0.0	1.42980908079074	1.21426257663758	3.87192426448162
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	2.02573992560488	5.02199865947314	0.0	0.0	1.93030686042947	0.0	0.0	1.8976930363828999	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	0.0	4.80383044856015	0.0	2.7735683450989996	2.26964563017273	12.793360485239	8.200772301355151	0.0	4.1608832245521095
relative.beta.NK.cells.activated	3.4084573521012804	0.0	10.113186988264001	4.77668723917547	5.192211827550969	0.5962386791452721	14.159648363200596	1.83838799013554	4.2597116806979
Monocytes	47.24962195830801	41.330669682392	30.23685059270431	46.9652319222305	58.09475741535749	41.44597234515071	46.6639530842671	60.38398566229311	39.524730306883704
relative.beta.Macrophages.M0	0.0	0.745861177696248	0.269460318291072	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0585719753866142	0.529802281962939	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.930259592304362	3.75106604473118	0.17229050242123298	1.22276606151124	0.26747207817586305	0.0	0.624749928280737	0.0	1.01810432761409
Neutrophils	0.0	0.0	0.0378556797820536	0.0	0.6053028996181079	0.306387226867022	0.0	0.0	0.040811381268099904
T_cells	40.1946182162758	41.92636306482865	53.73007299296732	37.30284054933049	26.96363003323032	40.51210402323453	24.088346361929847	27.638753419783395	45.51819056618541
CD4_T_cells	8.857721375411995	14.06376059858875	3.49431017121571	6.281306353550111	7.01418709866832	8.978257671698229	1.42980908079074	8.732012049418401	3.87192426448162
Macrophages	0.0	0.745861177696248	0.269460318291072	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	3.4084573521012804	4.80383044856015	10.113186988264001	7.5502555842744705	7.4618574577237	13.389599164384274	22.360420664555747	1.83838799013554	8.42059490525001
B_cells	8.21704288101059	7.38363760640512	4.91048064360713	6.9589058826532115	6.606980115894509	4.34593724036335	6.26252996096659	10.138872927787991	5.477568512798669
Dendritic_cells	0.0	0.0585719753866142	0.529802281962939	0.0	0.0	0.0	0.0	0.0	0.0
Lymphocytes	51.82011844938766	54.11383111979392	68.75374062483844	51.812002016258184	41.03246760684853	58.247640427982155	52.71129698745218	39.61601433770693	59.41635398423409
Non_plasma_B_cells	3.87568618860845	4.30420550659747	4.91048064360713	6.9589058826532115	1.41664566498767	2.66935446379374	3.7055685953885504	5.90952695313397	3.04659414457676
