	AdultKidney2	AdultKidney4
relative.beta.B.cells.naive	2.12384763929024	5.41648024162021
relative.beta.B.cells.memory	0.0	0.0
Plasma_B_cells	0.0	44.908954232492505
CD8_T_cells	11.3727063518871	0.0
relative.beta.T.cells.CD4.naive	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	1.45305879184051
relative.beta.T.cells.CD4.memory.activated	18.842395931686802	0.9432154495370748
relative.beta.T.cells.follicular.helper	0.0	0.0
Tregs	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0
relative.beta.NK.cells.resting	0.0	0.0
relative.beta.NK.cells.activated	9.29803454596687	2.1442789051611
Monocytes	14.980794817289999	14.993654211750698
relative.beta.Macrophages.M0	8.92235522450176	10.8808199096331
Macrophages_M1	3.86040243364315	2.70535186358232
Macrophages_M2	12.1006670330586	12.337857049140501
relative.beta.Dendritic.cells.resting	5.08635397868721	0.10800073641455303
relative.beta.Dendritic.cells.activated	0.26702350225186805	0.0
relative.beta.Mast.cells.resting	1.26732667910049	0.0
relative.beta.Mast.cells.activated	8.80830908518454	0.0
Eosinophils	0.0	4.108328608827359
Neutrophils	3.0697827774513797	0.0
B_cells	2.12384763929024	50.325434474112704
CD4_T_cells	18.842395931686802	2.396274241377585
NK_cells	9.29803454596687	2.1442789051611
Macrophages	24.883424691203512	25.924028822355925
Dendritic_cells	5.353377480939078	0.10800073641455303
T_cells	30.215102283573906	2.396274241377585
Non_plasma_B_cells	2.12384763929024	5.41648024162021
Lymphocytes	41.63698446883101	54.86598762065139
