	GSM2230759	GSM2230758	GSM2230760	GSM2230757
relative.beta.B.cells.naive	0.0	0.0	0.0	0.0
relative.beta.B.cells.memory	0.0	0.0	0.0	0.0
Plasma_B_cells	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.naive	13.4028284112398	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	0.0	6.3411682440708805	0.0
relative.beta.T.cells.CD4.memory.activated	0.0	0.0	0.0	0.0
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	0.0	0.0	0.0	0.0
relative.beta.NK.cells.activated	0.0	0.0	0.0	0.0
Monocytes	0.0	0.0	0.0	0.0
relative.beta.Macrophages.M0	81.02413583205539	54.03572523470429	68.4267092964092	67.1053761624259
Macrophages_M1	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	35.011991718478804	14.6856913347089	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	5.5730357567048285	0.0	1.3099949912425	15.3227757895272
relative.beta.Mast.cells.resting	0.0	5.13935061530999	0.0	0.0
relative.beta.Mast.cells.activated	0.0	5.812932431506879	9.23643613356844	17.571848048046903
Eosinophils	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0
B_cells	0.0	0.0	0.0	0.0
CD4_T_cells	13.4028284112398	0.0	6.3411682440708805	0.0
NK_cells	0.0	0.0	0.0	0.0
Macrophages	81.02413583205539	89.0477169531831	83.11240063111809	67.1053761624259
Dendritic_cells	5.5730357567048285	0.0	1.3099949912425	15.3227757895272
T_cells	13.4028284112398	0.0	6.3411682440708805	0.0
Non_plasma_B_cells	0.0	0.0	0.0	0.0
Lymphocytes	13.4028284112398	0.0	6.3411682440708805	0.0
